instrumentToken,instrumentName,name,lastPrice,expiry,strike,tickSize,lotSize,instrumentType,segment,exchange,isin,multiplier,exchangeToken,OptionType
13524,ARMANFIN,Arman Financial Services Ltd,990.9,0,0,0.050000,1,EQ,CASH,NSE,INE109C01017,1,17263,-
4943,AROGRANITE,Aro Granite Industries Ltd,54.55,0,0,0.050000,1,EQ,CASH,NSE,INE210C01013,1,14557,-
14689,ARROWGREEN,Arrow Greentech Ltd,104.65,0,0,0.050000,1,EQ,CASH,NSE,INE570D01018,1,9260,-
4511,ARSHIYA,Arshiya Ltd,28.9,0,0,0.050000,1,EQ,CASH,NSE,INE968D01022,1,17821,-
10180,ARSSINFRA,ARSS Infrastructure Projects Ltd,23.8,0,0,0.050000,1,EQ,CASH,NSE,INE267I01010,1,18202,-
37169,ARTNIRMAN,Art Nirman Ltd,97,0,0,0.050000,1,EQ,CASH,NSE,INE738V01013,1,6156,-
17481,ARTEMISMED,Artemis Medicare Services Ltd,45.9,0,0,0.050000,1,EQ,CASH,NSE,INE025R01021,1,16913,-
12351,ARVINDFASN,Arvind Fashions Ltd,283.85,0,0,0.050000,1,EQ,CASH,NSE,INE955V01021,1,9111,-
784,ARVIND,Arvind Ltd,115.45,0,0,0.050000,1,EQ,CASH,NSE,INE034A01011,1,193,-
12483,ARVSMART,Arvind SmartSpaces Ltd,204.85,0,0,0.050000,1,EQ,CASH,NSE,INE034S01021,1,10457,-
215,ASAHIINDIA,Asahi India Glass Ltd,431,0,0,0.050000,1,EQ,CASH,NSE,INE439A01020,1,5378,-
8799,ASAHISONG,Asahi Songwon Colors Ltd,285.3,0,0,0.050000,1,EQ,CASH,NSE,INE228I01012,1,25088,-
429,ASHAPURMIN,Ashapura Minechem Ltd,127.7,0,0,0.050000,1,EQ,CASH,NSE,INE348A01023,1,203,-
5349,ASHIANA,Ashiana Housing Ltd,136.65,0,0,0.050000,1,EQ,CASH,NSE,INE365D01021,1,24403,-
786,ASHIMASYN,Ashima Ltd,14.15,0,0,0.050000,1,EQ,CASH,NSE,INE440A01010,1,206,-
790,ASHOKLEY,Ashok Leyland Ltd,117.25,0,0,0.050000,1,EQ,CASH,NSE,INE208A01029,1,212,-
10475,ASHOKA,Ashoka Buildcon Ltd,85.8,0,0,0.050000,1,EQ,CASH,NSE,INE442H01029,1,20182,-
14550,ASIANENE,Asian Energy Services Ltd,114.3,0,0,0.050000,1,EQ,CASH,NSE,INE276G01015,1,7030,-
8927,ASIANTILES,Asian Granito India Ltd,99.15,0,0,0.050000,1,EQ,CASH,NSE,INE022I01019,1,14889,-
10369,AHLEAST,Asian Hotels (East) Ltd,235.7,0,0,0.050000,1,EQ,CASH,NSE,INE926K01017,1,19438,-
794,ASIANHOTNR,Asian Hotels (North) Ltd,80.5,0,0,0.050000,1,EQ,CASH,NSE,INE363A01022,1,18422,-
797,ASIANPAINT,Asian Paints Ltd,3079.95,0,0,0.050000,1,EQ,CASH,NSE,INE021A01026,1,236,-
13542,ASPINWALL,Aspinwall & Company Ltd,171.75,0,0,0.050000,1,EQ,CASH,NSE,INE991I01015,1,17270,-
25391,ASALCBR,Associated Alcohols & Breweries Ltd,472.85,0,0,0.050000,1,EQ,CASH,NSE,INE073G01016,1,17598,-
10026,ASTEC,Astec Lifesciences Ltd,1755.25,0,0,0.050000,1,EQ,CASH,NSE,INE563J01010,1,17728,-
72378,ASTERDM,Aster DM Healthcare Ltd,197.5,0,0,0.050000,1,EQ,CASH,NSE,INE914M01019,1,1508,-
4188,ASTRAMICRO,Astra Microwave Products Ltd,224.95,0,0,0.050000,1,EQ,CASH,NSE,INE386C01029,1,11618,-
8688,ASTRAL,Astral Ltd,2022.95,0,0,0.050000,1,EQ,CASH,NSE,INE006I01046,1,14418,-
804,ASTRAZEN,Astrazeneca Pharma India Ltd,2551.85,0,0,0.050000,1,EQ,CASH,NSE,INE203A01020,1,5610,-
18809,ASTRON,Astron Paper & Board Mill Ltd,42.75,0,0,0.050000,1,EQ,CASH,NSE,INE646X01014,1,874,-
8235,ATLANTA,Atlanta Ltd,19.5,0,0,0.050000,1,EQ,CASH,NSE,INE285H01022,1,13585,-
6339,ATULAUTO,Atul Auto Ltd,161.45,0,0,0.050000,1,EQ,CASH,NSE,INE951D01028,1,30023,-
813,ATUL,Atul Ltd,10292.55,0,0,0.050000,1,EQ,CASH,NSE,INE100A01010,1,263,-
99043,AUBANK,AU Small Finance Bank Ltd,1246.25,0,0,0.050000,1,EQ,CASH,NSE,INE949L01017,1,21238,-
7567,AURIONPRO,Aurionpro Solutions Ltd,326.35,0,0,0.050000,1,EQ,CASH,NSE,INE132H01018,1,12022,-
815,AUROPHARMA,Aurobindo Pharma Ltd,668.55,0,0,0.050000,1,EQ,CASH,NSE,INE406A01037,1,275,-
2378,AURUM,Aurum Proptech Ltd,119.55,0,0,0.050000,1,EQ,CASH,NSE,INE898S01029,1,10310,-
38,AUSOMENT,Ausom Enterprise Ltd,65.05,0,0,0.050000,1,EQ,CASH,NSE,INE218C01016,1,4037,-
8521,AUTOIND,Autoline Industries Ltd,53.9,0,0,0.050000,1,EQ,CASH,NSE,INE718H01014,1,14106,-
817,AUTOAXLES,Automotive Axles Ltd,1714.2,0,0,0.050000,1,EQ,CASH,NSE,INE449A01011,1,278,-
35310,AVADHSUGAR,Avadh Sugar & Energy Ltd,726.9,0,0,0.050000,1,EQ,CASH,NSE,INE349W01017,1,21406,-
4867,AVANTI,Avanti Feeds Ltd,412.35,0,0,0.050000,1,EQ,CASH,NSE,INE871C01038,1,7936,-
24886,DMART,Avenue Supermarts Ltd,4003.35,0,0,0.050000,1,EQ,CASH,NSE,INE192R01011,1,19913,-
5121,AVTNPL,AVT Natural Products Ltd,130.45,0,0,0.050000,1,EQ,CASH,NSE,INE488D01021,1,14008,-
34679,AXISBPSETF,Axis AAA Bond Plus SDL ETF-2026 Matur. Reg. Growth,10.56,0,0,0.010000,1,EQ,CASH,NSE,INF846K01Z04,1,3530,-
2302,AXISBANK,Axis Bank Ltd,761.15,0,0,0.050000,1,EQ,CASH,NSE,INE238A01034,1,5900,-
21638,AXISBNKETF,Axis Banking ETF,366,0,0,0.010000,1,EQ,CASH,NSE,INF846K01X63,1,1044,-
12200,AXISCETF,Axis Consumption ETF,68.49,0,0,0.010000,1,EQ,CASH,NSE,INF846K016C7,1,5732,-
10523,AXISGOLD,Axis Gold ETF,44.08,0,0,0.010000,1,EQ,CASH,NSE,INF846K01W80,1,20532,-
33137,AXISHCETF,Axis Healthcare ETF,83.12,0,0,0.010000,1,EQ,CASH,NSE,INF846K01Z12,1,3608,-
7996,AXISNIFTY,Axis Nifty ETF,185.01,0,0,0.010000,1,EQ,CASH,NSE,INF846K01W98,1,21252,-
12953,AXISTECETF,Axis Technology ETF,368.16,0,0,0.010000,1,EQ,CASH,NSE,INF846K01Y96,1,3010,-
3647,AXISCADES,AXISCADES Technologies Ltd,126.25,0,0,0.050000,1,EQ,CASH,NSE,INE555B01013,1,9436,-
12849,AYMSYNTEX,AYM Syntex Ltd,112.4,0,0,0.050000,1,EQ,CASH,NSE,INE193B01039,1,10285,-
3956,BAGFILMS,B A G Films & Media Ltd,5.55,0,0,0.050000,1,EQ,CASH,NSE,INE116D01028,1,11226,-
37066,BCP,B.C. Power Controls Ltd,4.55,0,0,0.050000,1,EQ,CASH,NSE,INE905P01028,1,11662,-
7891,BLKASHYAP,B.L.Kashyap & Sons Ltd,26.55,0,0,0.050000,1,EQ,CASH,NSE,INE350H01032,1,13290,-
9336,BAJAJ-AUTO,Bajaj Auto Ltd,3653,0,0,0.050000,1,EQ,CASH,NSE,INE917I01010,1,16669,-
10376,BAJAJCON,Bajaj Consumer Care Ltd,163.3,0,0,0.050000,1,EQ,CASH,NSE,INE933K01021,1,19531,-
4323,BAJAJELEC,Bajaj Electricals Ltd,1074.7,0,0,0.050000,1,EQ,CASH,NSE,INE193E01025,1,15034,-
832,BAJFINANCE,Bajaj Finance Ltd,7259.95,0,0,0.050000,1,EQ,CASH,NSE,INE296A01024,1,317,-
9339,BAJAJFINSV,Bajaj Finserv Ltd,17060.45,0,0,0.050000,1,EQ,CASH,NSE,INE918I01018,1,16675,-
